Jul 31 21:35:34.286825 np0000040803 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 31 21:35:34.295256 np0000040803 memory_tracker.sh[44281]: [[[
Jul 31 21:35:34.295923 np0000040803 memory_tracker.sh[44296]: Fri Jul 31 21:35:34 UTC 2026
Jul 31 21:35:34.296027 np0000040803 memory_tracker.sh[44281]: ---
Jul 31 21:35:34.350117 np0000040803 memory_tracker.sh[44300]: [iscsid (pid:35215)]=14172KB; [multipathd (pid:389)]=288932KB; [ovs-vswitchd (pid:30748)]=901124KB
Jul 31 21:35:34.355802 np0000040803 memory_tracker.sh[44281]: ]]]
Jul 31 21:35:54.361122 np0000040803 memory_tracker.sh[44281]: [[[
Jul 31 21:35:54.361738 np0000040803 memory_tracker.sh[47815]: Fri Jul 31 21:35:54 UTC 2026
Jul 31 21:35:54.362351 np0000040803 memory_tracker.sh[44281]: ---
Jul 31 21:35:54.362351 np0000040803 memory_tracker.sh[44281]: memory_tracker low_point: 6251036
Jul 31 21:35:54.362351 np0000040803 memory_tracker.sh[44281]: ---
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: MemTotal:        8129360 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: MemFree:          138500 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: MemAvailable:    6251036 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Buffers:          208208 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Cached:          5847548 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SwapCached:            0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Active:          1467800 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Inactive:        5528376 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Active(anon):    1115016 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Inactive(anon):      160 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Active(file):     352784 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Inactive(file):  5528216 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Unevictable:      143592 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Mlocked:          142392 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SwapTotal:       8388604 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SwapFree:        8388336 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Zswap:               220 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Zswapped:             48 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Dirty:            170276 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Writeback:             0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: AnonPages:       1084180 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Mapped:           187436 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Shmem:            154888 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: KReclaimable:     541088 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Slab:             673516 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SReclaimable:     541088 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SUnreclaim:       132428 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: KernelStack:        8684 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: PageTables:        10364 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: SecPageTables:         0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: NFS_Unstable:          0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Bounce:                0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: WritebackTmp:          0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: CommitLimit:    12453284 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Committed_AS:    2911500 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: VmallocTotal:   13743895347199 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: VmallocUsed:       29716 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: VmallocChunk:          0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Percpu:             5088 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: HardwareCorrupted:     0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: AnonHugePages:         0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: ShmemHugePages:        0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: ShmemPmdMapped:        0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: FileHugePages:         0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: FilePmdMapped:         0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Unaccepted:            0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: HugePages_Total:       0
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: HugePages_Free:        0
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: HugePages_Rsvd:        0
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: HugePages_Surp:        0
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Hugepagesize:       2048 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: Hugetlb:               0 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: DirectMap4k:      264044 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: DirectMap2M:     8124416 kB
Jul 31 21:35:54.362899 np0000040803 memory_tracker.sh[47819]: DirectMap1G:     2097152 kB
Jul 31 21:35:54.364214 np0000040803 memory_tracker.sh[44281]: ---
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      43639    5.1          416320          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      46659    1.7          139252      46657   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      46658    1.7          139004      46657   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      17417    1.6          134488          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      42867    1.4          117256          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      30748    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 31 21:35:54.374583 np0000040803 memory_tracker.sh[47821]:      10724    0.4           40528      10722   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      45416    0.3           29048          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040803 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040803=http://10.241.128.148:2380 --initial-advertise-peer-urls http://10.241.128.148:2380 --advertise-client-urls http://10.241.128.148:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.148:2379 --log-level=debug
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:        389    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      39564    0.3           26776          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:       2323    0.3           25736       2322   00:00:00        2 do_wait                   /usr/bin/python3
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:       2102    0.2           20876          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:       1206    0.2           20484          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      16378    0.2           19852          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      46657    0.2           19532          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      46984    0.1           15828      46978   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      39598    0.1           15564          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      33142    0.1           15448          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      35215    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:          1    0.1           14000          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 31 21:35:54.374978 np0000040803 memory_tracker.sh[47821]:      10722    0.1           13360          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:      46983    0.1           13112      46978   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:        496    0.1           12984          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:      47061    0.1           12580          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:       4538    0.1           12368       2326   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-31-212821
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:       4543    0.1           12308       2326   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-31-212821.summary.2026-07-31-212821
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:      47633    0.1           11692      47605   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:      47668    0.1           11636      47651   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:       1055    0.1           11516          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 31 21:35:54.375369 np0000040803 memory_tracker.sh[47821]:       2326    0.1           10768       2324   00:00:02        1 pipe_read                 bash ./stack.sh
